propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,externalReference,description,parkingSpace,newDevelopmentFinished,neighborhood
33416576,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a0/4c/ea/244993026.jpg,24,bj,349900.0,{'price': {'amount': 349900.0}},flat,sale,70.0,2,2,rua António Nobre,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,38.7459381,-9.1808438,False,https://www.idealista.pt/imovel/33416576/,False,good,False,False,4999.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso en rua António Nobre'}",True,False,False,False,,False,False,RA 05,,,,
33416571,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/74/f8/7b/244992583.jpg,20,bj,970000.0,{'price': {'amount': 970000.0}},flat,sale,232.0,3,3,"Azinhaga Travessas, 10",Lisboa,Lumiar,Paço do Lumiar,pt,38.7726455,-9.1717202,True,https://www.idealista.pt/imovel/33416571/,True,good,False,True,4181.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Piso en Azinhaga Travessas, 10'}",True,True,False,False,,False,False,265240026,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33416581,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2e/b6/ac/244992951.jpg,30,7,329900.0,{'price': {'amount': 329900.0}},flat,sale,77.0,2,2,rua Doutor João de Barros,Lisboa,Benfica,Arneiros,pt,38.7544164,-9.1970491,False,https://www.idealista.pt/imovel/33416581/,False,good,False,True,4284.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso en rua Doutor João de Barros'}",True,False,False,False,,False,False,ag5407,,,,
33416591,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/2f/5d/6c/244993062.jpg,26,1,275000.0,{'price': {'amount': 275000.0}},flat,sale,51.0,2,1,"rua do Vigário, 90",Lisboa,Santa Maria Maior,Alfama - Sé,pt,38.7125104,-9.1279429,True,https://www.idealista.pt/imovel/33416591/,False,good,False,False,5392.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso en rua do Vigário, 90'}",True,False,False,False,,False,False,,,,,
33295612,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/79/fd/d1/239576784.jpg,17,2,299000.0,"{'price': {'amount': 299000.0, 'priceDropInfo': {'formerPrice': 310000.0, 'priceDropValue': 11000, 'priceDropPercentage': 4}}}",flat,sale,71.0,2,1,rua Fernão de Magalhães,Lisboa,São Vicente,Santa Engrácia,pt,38.7181075,-9.1197225,False,https://www.idealista.pt/imovel/33295612/,True,good,False,False,4211.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso en rua Fernão de Magalhães'}",True,False,False,False,,False,False,C0506-00122,,,,
33416556,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3f/d9/bc/244992291.jpg,17,2,220000.0,{'price': {'amount': 220000.0}},flat,sale,40.0,2,1,Santos-o-Velho - Madragoa,Lisboa,Estrela,Santos-o-Velho - Madragoa,pt,38.7075755,-9.15332,False,https://www.idealista.pt/imovel/33416556/,True,good,False,False,5500.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,120611851-67,,,,
33416516,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bf/40/4a/245003257.jpg,22,bj,448000.0,{'price': {'amount': 448000.0}},flat,sale,134.0,1,1,avenida Óscar Monteiro Torres,Lisboa,Areeiro,Av. de Roma - Campo Pequeno,pt,38.7437846,-9.1425806,False,https://www.idealista.pt/imovel/33416516/,True,good,False,False,3343.0,{'typology': 'flat'},"{'subtitle': 'Areeiro, Lisboa', 'title': 'Piso en avenida Óscar Monteiro Torres'}",False,False,False,False,,False,False,LIL063-2024,"Apartamento de 1 dormitorio con amplias áreas, transformado de un T3 original con proyecto de arquitecto, en planta baja alta en la Avenida Óscar Monteiro Torres, con una ubicación privilegiada, literalmente a dos pasos del Campo Pequeno. Consta de amplio salón en L, dormitorio con armario empotrado, baño con ducha a ras de suelo, cocina equipada y con mucho espacio de almacenaje, amplio hall y pasillo, jardín/patio de 36m2 e infinitas posibilidades de aprovechamiento. Con todo tipo de comercios, servicios, instituciones y transportes públicos alrededor, como supermercados, restaurantes, correos, farmacia, jardines, colegios, autobuses, metro, entre muchos otros puntos de interés.",,,
33416551,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d4/66/1e/244991381.jpg,35,1,795000.0,{'price': {'amount': 795000.0}},flat,sale,130.0,2,2,Av. da Liberdade - Marquês de Pombal,Lisboa,Santo António,Av. da Liberdade - Marquês de Pombal,pt,38.7264161,-9.1468734,False,https://www.idealista.pt/imovel/33416551/,False,good,False,,6115.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,APA_9816,,,,
33416523,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/98/50/4e/244990845.jpg,9,3,395000.0,{'price': {'amount': 395000.0}},flat,sale,107.0,3,2,rua Vicente Borga,Lisboa,Estrela,Santos-o-Velho - Madragoa,pt,38.7074593,-9.155304,False,https://www.idealista.pt/imovel/33416523/,False,good,False,False,3692.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso en rua Vicente Borga'}",False,False,False,False,,False,False,258240024,"Este excelente piso dúplex de 3 dormitorios, con una superficie total de 107m2, ha sido completamente reformado. La propiedad recibe una gran luz natural, proporcionando un ambiente acogedor y luminoso en todos los espacios. Además, la propiedad tiene una encantadora vista del río Tajo. Situado en el corazón de la prestigiosa zona de Estrela, este piso ofrece una ubicación privilegiada, cerca de una amplia gama de tiendas, una eficiente red de transporte público y a 5 minutos de la nueva estación de metro Santos, garantizando un fácil acceso a cualquier parte de la ciudad.",,,
33416444,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/70/ab/08/245017943.jpg,22,-2,568000.0,{'price': {'amount': 568000.0}},flat,sale,146.0,3,1,Alvalade,Lisboa,Alvalade,Alvalade,pt,38.7491025,-9.1292395,False,https://www.idealista.pt/imovel/33416444/,True,good,False,False,3890.0,{'typology': 'flat'},"{'subtitle': 'Alvalade, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,109240083,"Situado en la Avenida Gago Coutinho (Avenida del Aeropuerto), en el muy solicitado barrio de Alvalade, uno de los barrios más deseados de Lisboa para vivir, encontramos este singular apartamento de tres dormitorios por el hecho de tener una enorme terraza con dos niveles, lo que permitirá dar rienda suelta a la imaginación sobre qué hacer allí. Este apartamento está orientado al oeste con todas las ventanas y puertas orientadas hacia la terraza. El apartamento cuenta con tres dormitorios más una sala de estar. Tiene una espaciosa zona de lavandería que comunica con la cocina, que con un poco de imaginación y buen gusto podría convertirse en un comedor. Así, ya sea para vivir o para invertir, la ubicación y el espacio exterior hacen de este apartamento una inversión única. Su ubicación estratégica, a pocos metros de la estación de tren de Av. de Roma, a pocos minutos a pie del metro y de la Praça do Areeiro, con fácil acceso al centro de Lisboa o acceso rápido a la 2ª Circular o cualquiera de los puentes sobre el Tajo, hacen de esta ubicación un lugar muy conveniente para vivir.",,,
